atomic_number,name,symbol,period,group,phase,type,de_name,en_name,es_name,fr_name,it_name,pt_name
1,Hydrogenium,H,1,1,gas,Nonmetal,Wasserstoff,Hydrogen,Hidrógeno,Hydrogène,Idrogeno,Hidrogênio
2,Helium,He,1,18,gas,Noble Gas,Helium,Helium,Helio,Hélium,Elio,Hélio
3,Lithium,Li,2,1,solid,Alkali Metal,Lithium,Lithium,Litio,Lithium,Litio,Lítio
4,Beryllium,Be,2,2,solid,Alkaline Earth Metal,Beryllium,Beryllium,Berilio,Béryllium,Berillio,Berílio
5,Borium,B,2,13,solid,Metalloid,Bor,Boron,Boro,Bore,Boro,Boro
6,Carbonium,C,2,14,solid,Nonmetal,"Kohlenstoff
",Carbon,Carbono,Carbone,Carbonio,Carbono
7,Nitrogenium,N,2,15,gas,Nonmetal,"Stickstoff
",Nitrogen,Nitrógeno,Azote,Azoto,Nitrogênio
8,Oxygenium,O,2,16,gas,Nonmetal,"Sauerstoff
",Oxygen,Oxígeno,Oxygène,Ossigeno,Oxigênio
9,Fluorum,F,2,17,gas,Halogen,Fluor,Fluorine,Flúor,Fluor,Fluoro,Flúor
10,Neon,Ne,2,18,gas,Noble Gas,Neon,Neon,Neón,Néon,Neon,Neônio
11,Natrium,Na,3,1,solid,Alkali Metal,Natrium,Sodium,Sodio,Sodium,Sodio,Sódio
12,Magnesium,Mg,3,2,solid,Alkaline Earth Metal,Magnesium,Magnesium,Magnesio,Magnésium,Magnesio,Magnésio
13,Alumen,Al,3,13,solid,Metal,Aluminium,Aluminum,Aluminio,Aluminium,Alluminio,Alumínio
14,Silicium,Si,3,14,solid,Metalloid,Silicium,Silicon,Silicio,Silicium,Silicio,Silício
15,Phosphorus,P,3,15,solid,Nonmetal,Phosphor,Phosphorus,Fósforo,Phosphore,Fosforo,Fósforo
16,Sulphur,S,3,16,solid,Nonmetal,"Schwefel
",Sulfur,Azufre,Soufre,Zolfo,Enxofre
17,Clorum,Cl,3,17,gas,Halogen,Chlor,Chlorine,Cloro,Chlore,Cloro,Cloro
18,Argon,Ar,3,18,gas,Noble Gas,Argon,Argon,Argón,Argon,Argon,Argônio
19,Kalium,K,4,1,solid,Alkali Metal,Kalium,Potassium,Potasio,Potassium,Potassio,Potássio
20,Calcium,Ca,4,2,solid,Alkaline Earth Metal,Calcium,Calcium,Calcio,Calcium,Calcio,Cálcio
21,Scandium,Sc,4,3,solid,Transition Metal,Scandium,Scandium,Escandio,Scandium,Scandio,Escândio
22,Titanium,Ti,4,4,solid,Transition Metal,Titan,Titanium,Titanio,Titane,Titanio,Titânio
23,Vanadium,V,4,5,solid,Transition Metal,Vanadium,Vanadium,Vanadio,Vanadium,Vanadio,Vanádio
24,Chromium,Cr,4,6,solid,Transition Metal,Chrom,Chromium,Cromo,Chrome,Cromo,Cromo
25,Manganum,Mn,4,7,solid,Transition Metal,Mangan,Manganese,Manganeso,Manganèse,Manganese,Manganês
26,Ferrum,Fe,4,8,solid,Transition Metal,"Eisen
",Iron,Hierro,Fer,Ferro,Ferro
27,Cobaltum,Co,4,9,solid,Transition Metal,Cobalt,Cobalt,Cobalto,Cobalt,Cobalto,Cobalto
28,Niccolum,Ni,4,10,solid,Transition Metal,Nickel,Nickel,Níquel,Nickel,Nichel,Níquel
29,Cuprum,Cu,4,11,solid,Transition Metal,"Kupfer
",Copper,Cobre,Cuivre,Rame,Cobre
30,Zincum,Zn,4,12,solid,Transition Metal,Zink,Zinc,Zinc,Zinc,Zinco,Zinco
31,Galium,Ga,4,13,solid,Metal,Gallium,Gallium,Galio,Gallium,Gallio,Gálio
32,Germanium,Ge,4,14,solid,Metalloid,Germanium,Germanium,Germanio,Germanium,Germanio,Germânio
33,Arsenicum,As,4,15,solid,Metalloid,Arsen,Arsenic,Arsénico,Arsenic,Arsenico,Arsénio
